CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\WINDOWS\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20220823123632.896948+540 , C:\WINDOWS\system32\BackgroundTaskHost.exe ,612 , 22136 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=185 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=1588 /prefetch:1 , 20220823124147.194255+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 12572 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=186 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3908 /prefetch:1 , 20220823124230.138015+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 15584 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124330.406892+540 , None ,916 , 13224 , (None, 2, None) , N/A
None , 20220823124330.438584+540 , None ,612 , 19740 , (None, 2, None) , N/A
None , 20220823124338.699205+540 , None ,612 , 5868 , (None, 2, None) , N/A
None , 20220823124338.794978+540 , None ,916 , 7876 , (None, 2, None) , N/A
C:\Windows\System32\smartscreen.exe -Embedding , 20220823124340.075018+540 , C:\Windows\System32\smartscreen.exe ,612 , 9388 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=187 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5644 /prefetch:1 , 20220823124347.197200+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 14308 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124526.312879+540 , None ,4952 , 15720 , (None, 2, None) , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=188 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6152 /prefetch:1 , 20220823124534.645006+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 18396 , ('AzureAD', 0, 'KatayamaMasa') , N/A
